beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id
"White Rascal","Avery Brewing Co.",Witbier,5.6,22,,"Henry's Tavern",Denver,CO,"United States",39.7444,-104.991,3,"2016-04-22 14:57:39",https://untappd.com/c/302532852,https://untappd.com/beer/6109,https://untappd.com/brewery/62,"United States",Boulder,CO,,,,302532852,6109,62
"90 Shilling","Odell Brewing Co.","Red Ale - American Amber / Red",5.3,27,,"Henry's Tavern",Denver,CO,"United States",39.7444,-104.991,3,"2016-04-22 17:59:25",https://untappd.com/c/302666564,https://untappd.com/beer/208,https://untappd.com/brewery/7296,"United States","Fort Collins",CO,,,,302666564,208,7296
"Baby Trogdor: The Burninator","Avery Brewing Co.","Bock - Doppelbock",5.9,17,,"Avery Brewing Company",Boulder,CO,"United States",40.0622,-105.205,3.25,"2016-04-23 13:58:29",https://untappd.com/c/303136452,https://untappd.com/beer/1414286,https://untappd.com/brewery/62,"United States",Boulder,CO,,,,303136452,1414286,62
"SMASH Pale #4: Comet","Avery Brewing Co.","Pale Ale - American",4.8,45,,"Avery Brewing Company",Boulder,CO,"United States",40.0622,-105.205,3.5,"2016-04-23 14:45:12",https://untappd.com/c/303183452,https://untappd.com/beer/1345271,https://untappd.com/brewery/62,"United States",Boulder,CO,,,,303183452,1345271,62
Wildbrü,"Sanitas Brewing Company","English Bitter",5.2,31,,"Sanitas Brewing Company",Boulder,CO,"United States",40.0215,-105.247,3.25,"2016-04-23 15:39:01",https://untappd.com/c/303237857,https://untappd.com/beer/1465802,https://untappd.com/brewery/67359,"United States",Boulder,CO,,,,303237857,1465802,67359
"Barrel Aged Avarice (2015)","River North Brewery","Stout - American Imperial / Double",11.5,0,,"Stapleton - Denver, CO",Denver,CO,"United States",39.7504,-104.876,4.5,"2016-04-23 17:40:35",https://untappd.com/c/303357867,https://untappd.com/beer/1286169,https://untappd.com/brewery/23833,"United States",Denver,CO,,,,303357867,1286169,23833
"The Commodore (2015)","Diebolt Brewing Company","Stout - Imperial / Double",10,65,,"Stapleton - Denver, CO",Denver,CO,"United States",39.7504,-104.876,4.5,"2016-04-23 17:48:38",https://untappd.com/c/303365734,https://untappd.com/beer/1398300,https://untappd.com/brewery/76946,"United States",Denver,CO,,,,303365734,1398300,76946
"Samuel Adams Utopias (2015)","Boston Beer Company","Strong Ale - American",28,0,,"Stapleton - Denver, CO",Denver,CO,"United States",39.7504,-104.876,4.75,"2016-04-23 18:56:51",https://untappd.com/c/303431717,https://untappd.com/beer/1218379,https://untappd.com/brewery/157,"United States",Boston,MA,,,,303431717,1218379,157
"Brown Ale","Upslope Brewing Company","Brown Ale - American",6.7,45,,"Denver International Airport (DEN) (Denver International Airport)",Denver,CO,"United States",39.8497,-104.674,3,"2016-04-24 14:02:39",https://untappd.com/c/303776133,https://untappd.com/beer/9157,https://untappd.com/brewery/1860,"United States",Boulder,CO,,,,303776133,9157,1860
"Fresh Squeezed IPA","Deschutes Brewery","IPA - American",6.4,60,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3.5,"2016-04-29 20:34:48",https://untappd.com/c/305347533,https://untappd.com/beer/59622,https://untappd.com/brewery/441,"United States",Bend,OR,,,,305347533,59622,441
"Salted Caramel Bourbon Barrel Aged Porter","Anderson Valley Brewing Company","Porter - Other",6,16,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,4,"2016-04-29 20:35:24",https://untappd.com/c/305347965,https://untappd.com/beer/1223753,https://untappd.com/brewery/3880,"United States",Boonville,CA,,,,305347965,1223753,3880
"The Barista","Clown Shoes","Brown Ale - American",8.5,60,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3.5,"2016-05-02 21:30:13",https://untappd.com/c/306826657,https://untappd.com/beer/1396456,https://untappd.com/brewery/7583,"United States",Ipswich,MA,,,,306826657,1396456,7583
"Parabola (2016)","Firestone Walker Brewing Company","Stout - Russian Imperial",13.1,79,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,4,"2016-05-02 22:44:57",https://untappd.com/c/306849589,https://untappd.com/beer/1481951,https://untappd.com/brewery/524,"United States","Paso Robles",CA,,,,306849589,1481951,524
"20th Anniversary Imperial Rye IPA","Real Ale Brewing Company","IPA - Imperial / Double",9.5,75,,Eureka!,Austin,TX,"United States",30.2678,-97.7412,3.5,"2016-05-26 12:34:12",https://untappd.com/c/315662963,https://untappd.com/beer/1513637,https://untappd.com/brewery/1044,"United States",Blanco,TX,,,,315662963,1513637,1044
"ZiegenBock Duneskier",Anheuser-Busch,"Lager - American Amber / Red",5.5,0,,"The Driskill",Austin,TX,"United States",30.2682,-97.7417,3,"2016-05-26 15:47:32",https://untappd.com/c/315719363,https://untappd.com/beer/1255931,https://untappd.com/brewery/44,"United States","St. Louis",MO,,,,315719363,1255931,44
"Barton Springs Pale Ale","Uncle Billy's Brewery","Pale Ale - American",6.6,45,,"The Driskill",Austin,TX,"United States",30.2682,-97.7417,3.25,"2016-05-26 15:48:18",https://untappd.com/c/315719639,https://untappd.com/beer/1085502,https://untappd.com/brewery/3118,"United States",Austin,TX,,,,315719639,1085502,3118
"Shiner Bock","Spoetzl Brewery","Bock - Single / Traditional",4.4,13,,"The Driskill",Austin,TX,"United States",30.2682,-97.7417,3,"2016-05-26 16:26:10",https://untappd.com/c/315733480,https://untappd.com/beer/4488,https://untappd.com/brewery/1179,"United States",Shiner,TX,,,,315733480,4488,1179
"Hopadillo IPA","Karbach Brewing Co","IPA - American",6.6,65,,"Hyatt Place Austin Downtown",Austin,TX,"United States",30.2644,-97.742,2.75,"2016-05-26 19:02:08",https://untappd.com/c/315811211,https://untappd.com/beer/73130,https://untappd.com/brewery/14665,"United States",Houston,TX,,,,315811211,73130,14665
"Firemans #4","Real Ale Brewing Company","Blonde Ale",5.1,23,,"Iron Works BBQ",Austin,TX,"United States",30.2623,-97.739,3,"2016-05-27 19:03:00",https://untappd.com/c/316281072,https://untappd.com/beer/6497,https://untappd.com/brewery/1044,"United States",Blanco,TX,,,,316281072,6497,1044
